"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax2"
"Racer","None"
"Championship",""
"Comment",""
"Date","Sunday, November 9, 2025"
"Time","1:04 PM"
"Sample Rate","20"
"Duration","840.987"
"Segment","Session"
"Beacon Markers","81.664","145.572","207.123","267.327","326.935","385.842","444.939","504.416","564.021","622.906","682.818","742.315","814.01","840.987"
"Segment Times","1:21.664","1:03.908","1:01.551","1:00.204","0:59.608","0:58.907","0:59.097","0:59.477","0:59.605","0:58.885","0:59.912","0:59.497","1:11.695","0:26.977"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","MagnetomX","MagnetomY","MagnetomZ","Internal Battery","RPM","Calculated Gear","Distance on GPS Speed"
"0.400","0.0857","15","0.0000","0.0000","-1.1492","126.3701","0.0000","410.2208","5.9000","0.1032","10000.0000","41.56636735","44.94946051","-0.5913","0.0116","-0.8022","0.6821","-1.4260","-0.4592","-199.2625","321.5250","247.0312","3.9710","0.0000","0.0000","0.0056"
"0.450","0.0549","15","0.0000","0.0000","-22.6934","-11.5848","0.0000","410.2197","5.9000","0.1215","10000.0000","41.56636736","44.94946051","-0.5913","0.0146","-0.7966","0.6744","-1.4024","-0.3726","-198.6938","319.3000","245.6500","3.9710","0.0000","0.0000","0.0067"
"0.500","0.1424","15","0.0000","0.0000","-1.5490","-78.0258","0.0000","410.2242","5.9000","0.1053","10000.0000","41.56636732","44.94946051","-0.5991","0.0159","-0.8027","0.8039","-1.4326","-0.4053","-197.5437","317.5375","244.7625","3.9710","0.0000","0.0000","0.0079"
"0.550","0.1587","15","0.0000","0.0000","10.0147","-30.8382","0.0000","410.2255","5.9000","0.1100","10000.0000","41.56636742","44.94946043","-0.6150","0.0295","-0.8069","0.7648","-1.6026","-0.5107","-192.1250","314.8000","244.6250","3.9710","124.6000","0.0000","0.0099"
"0.600","0.1298","15","0.0000","0.0000","8.4750","82.4067","0.0000","410.2225","5.9000","0.1100","10000.0000","41.56636734","44.94946054","-0.6021","0.0178","-0.8003","0.9566","-1.4584","-0.6337","-188.1625","313.2625","244.6250","3.9710","712.0000","0.0000","0.0119"
"0.650","0.0759","15","0.0000","0.0000","-14.7459","106.0454","0.0000","410.2220","5.9000","0.1042","10000.0000","41.56636734","44.94946054","-0.5935","-0.0013","-0.7942","0.9087","-1.2837","-0.5979","-191.4000","314.8375","244.6250","3.9710","867.9250","0.0000","0.0134"
"0.700","0.0903","15","0.0000","0.0000","-10.0693","46.4647","0.0000","410.2198","5.9000","0.1330","10000.0000","41.56636736","44.94946058","-0.5796","-0.0167","-0.7974","0.5826","-1.4125","-0.4451","-195.6750","316.4750","244.6250","3.9710","943.0000","0.0000","0.0144"
"0.750","0.0387","15","0.0000","0.0000","31.9676","47.9238","0.0000","410.2193","5.9000","0.1277","10000.0000","41.56636736","44.94946059","-0.5415","0.0047","-0.8101","0.2776","-1.5437","-0.2273","-199.4937","315.1625","245.5437","3.9709","843.6750","0.0000","0.0154"
"0.800","0.0603","15","0.0000","0.0000","31.9297","-19.7992","0.0000","410.2225","5.9000","0.1065","10000.0000","41.56636734","44.94946054","-0.5337","0.0464","-0.8159","0.4485","-1.2680","-0.0730","-201.3625","314.2500","246.2437","3.9708","1607.0750","0.0000","0.0161"
"0.850","0.0899","15","0.0000","0.0000","8.7583","80.0421","0.0000","410.2189","5.9000","0.1085","10000.0000","41.56636737","44.94946059","-0.5820","0.0358","-0.8188","0.4596","-1.2670","-0.4081","-197.9062","317.7875","246.5000","3.9707","2252.3501","0.0000","0.0171"
"0.900","0.1298","15","0.0000","0.0000","-4.9017","-101.6399","0.0000","410.2178","5.9000","0.1330","10000.0000","41.56636728","44.94946052","-0.5957","0.0278","-0.8179","0.6769","-1.2024","-0.7068","-194.1875","320.7125","246.5000","3.9706","2576.8999","0.0000","0.0185"
"0.950","0.0111","15","0.0000","0.0000","1.6953","-5.1249","0.0000","410.2198","5.9000","0.1277","10000.0000","41.56636737","44.94946059","-0.5750","0.0320","-0.8308","0.7342","-1.0145","-0.7583","-190.8125","319.0500","246.5000","3.9705","2501.1001","0.0000","0.0197"
"1.000","0.1119","15","0.0000","0.0000","25.6491","-27.7976","0.0000","410.2287","5.9000","0.1065","10000.0000","41.56636737","44.94946056","-0.5835","0.0143","-0.8232","0.6914","-1.2663","-0.7334","-188.4125","317.0375","246.6187","3.9704","2303.0750","0.0000","0.0208"
"1.050","0.0153","15","0.0000","0.0000","13.5882","23.9654","0.0000","410.2273","5.9000","0.1200","10000.0000","41.56636730","44.94946053","-0.6101","0.0119","-0.7556","0.7879","-1.6166","-0.5207","-185.5063","315.1625","248.4500","3.9703","2220.0249","0.0000","0.0216"
"1.100","0.0000","15","0.0000","0.0000","0.0000","0.0000","0.0000","410.2197","5.9000","0.1117","10000.0000","41.56636726","44.94946049","-0.5767","0.0364","-0.7856","0.7753","-1.1132","-0.4414","-182.7875","314.0125","250.5875","3.9702","2508.6250","0.0000","0.0217"
"1.150","0.0745","15","0.0000","0.0000","-12.6934","-94.8187","0.0000","410.2176","5.9000","0.1107","10000.0000","41.56636726","44.94946051","-0.5913","0.0274","-0.7664","0.7684","-1.5633","-0.5338","-183.6438","316.0625","251.3062","3.9701","2614.6250","0.0000","0.0222"
"1.200","0.0422","15","0.0000","0.0000","2.7544","26.7822","0.0000","410.2176","5.9000","0.1200","10000.0000","41.56636726","44.94946056","-0.6230","0.0226","-0.7183","0.7992","-2.2025","-0.4097","-185.7125","318.9500","251.3750","3.9700","2900.3750","0.0000","0.0228"
"1.250","0.0759","15","0.0000","0.0000","27.5030","138.5229","0.0000","410.2244","5.9000","0.1142","10000.0000","41.56636727","44.94946063","-0.5664","0.0292","-0.7683","0.7365","-1.9897","-0.3357","-189.0500","320.3625","251.0125","3.9699","3330.5000","0.0000","0.0238"
"1.300","0.0360","15","0.0000","0.0000","41.5671","180.0000","0.0000","410.2295","5.9000","0.1018","10000.0000","41.56636728","44.94946059","-0.5454","0.0043","-0.8633","0.7600","-1.6074","-0.5388","-191.9563","320.9875","250.6313","3.9698","3890.6499","0.0000","0.0246"
"1.350","0.1053","15","0.0000","0.0000","29.1827","-4.2866","0.0000","410.2290","5.9000","0.1285","10000.0000","41.56636728","44.94946059","-0.5173","0.0064","-0.8867","0.8616","-1.0516","-0.6628","-190.2563","321.6125","251.9625","3.9697","4530.1250","0.0000","0.0255"
"1.400","0.0603","15","0.0000","0.0000","35.0480","20.3743","0.0000","410.2229","5.9000","0.1067","10000.0000","41.56636721","44.94946059","-0.4751","0.0047","-0.8701","1.1583","-1.0028","-0.4317","-187.5375","321.9875","253.7188","3.9696","5024.8501","0.0000","0.0266"
"1.450","0.1478","15","0.0000","0.0000","17.7232","160.7095","0.0000","410.2191","5.9000","0.1058","10000.0000","41.56636718","44.94946059","-0.4885","0.0077","-0.8508","1.2392","-1.4137","-0.3909","-191.9187","323.9500","255.4062","3.9695","5083.6748","0.0000","0.0281"
"1.500","0.4635","15","0.0000","0.0000","2.2964","143.9071","0.0000","410.2151","5.9000","0.1100","10000.0000","41.56636706","44.94946066","-0.5229","-0.0024","-0.8604","0.8187","-1.7209","-0.4040","-198.0250","326.2125","256.4875","3.9694","4798.9502","0.0000","0.0323"
"1.550","0.6335","14","0.0000","0.0000","1.0149","139.0644","0.0000","410.2205","5.9000","0.1100","10000.0000","41.56636698","44.94946078","-0.5190","-0.0104","-0.8894","0.7015","-1.1479","-0.4703","-199.9312","329.1750","252.9875","3.9693","4828.0498","0.0000","0.0397"
"1.600","0.8089","14","0.0000","0.0000","1.8418","133.9760","0.0000","410.2241","5.9000","0.1100","10000.0000","41.56636684","44.94946093","-0.5039","-0.0088","-0.8823","0.7171","-1.4916","-0.5580","-199.6375","331.7125","248.4500","3.9692","4702.3999","0.0000","0.0496"
"1.650","0.9675","14","0.0000","0.0000","1.5725","131.1707","0.0000","410.2203","5.9000","0.1100","10000.0000","41.56636680","44.94946103","-0.5186","0.0193","-0.8232","0.8757","-1.9454","-0.6271","-195.8500","330.0750","247.9187","3.9691","4597.4502","0.0000","0.0621"
"1.700","1.0594","14","0.0156","0.0990","0.6527","129.4330","0.0000","410.2164","5.9000","0.1100","10000.0000","41.56636669","44.94946117","-0.5566","-0.0165","-0.8213","0.9964","-1.6783","-0.4134","-191.6875","327.3000","248.8625","3.9690","4549.2251","0.0000","0.0761"
"1.750","1.0663","14","0.0187","0.1119","-1.6811","129.1819","0.0000","410.2023","5.9000","0.1100","10000.0000","41.56636653","44.94946137","-0.5581","0.0058","-0.8521","0.7109","-1.7741","-0.2157","-193.2188","325.4125","248.5250","3.9683","4457.7500","0.0000","0.0911"
"1.800","1.3641","14","0.0148","0.1009","-0.6003","137.4395","0.0000","410.1992","5.9000","0.1100","10000.0000","41.56636640","44.94946155","-0.4834","0.0410","-0.8989","0.3803","-1.1999","-0.3853","-197.9187","323.7750","247.2688","3.9676","4865.5752","0.0000","0.1080"
"1.850","1.5654","14","0.0021","0.0949","0.1907","139.1362","0.0000","410.2077","5.9000","0.1100","10000.0000","41.56636618","44.94946171","-0.4326","0.0434","-0.9031","0.8516","-1.5879","-0.7092","-195.3313","324.7000","249.6500","3.9669","5113.7998","0.0000","0.1285"
"1.900","1.7868","14","0.0080","0.0909","0.3697","133.6586","0.0000","410.2170","5.9000","0.1100","10000.0000","41.56636596","44.94946199","-0.4812","0.0236","-0.8530","1.1650","-2.1717","-0.8767","-188.0063","326.7125","254.2937","3.9662","4951.6748","0.0000","0.1518"
"1.950","2.0091","14","0.0119","0.0839","0.5220","138.7496","0.0000","410.2222","5.9000","0.1100","10000.0000","41.56636575","44.94946221","-0.5549","-0.0076","-0.7979","0.6348","-1.6650","-0.9505","-185.3750","325.2125","252.6687","3.9655","4380.4502","0.0000","0.1783"
"2.000","2.2879","14","0.0084","0.0584","0.7370","146.1324","0.0000","410.2219","5.9000","0.1100","10000.0000","41.56636542","44.94946234","-0.6040","-0.0328","-0.6938","0.7330","-1.6685","-0.8890","-185.9812","321.3250","247.1000","3.9648","4087.6250","0.0000","0.2082"
"2.050","2.0209","14","0.0032","0.0284","0.6639","142.8956","0.0000","410.2283","5.9000","0.1100","10000.0000","41.56636530","44.94946261","-0.6831","-0.0043","-0.6118","0.5823","-2.0477","-0.7188","-189.0938","320.1125","244.8875","3.9641","4071.4751","0.0000","0.2381"
"2.100","1.9647","14","0.0049","-0.0158","1.1878","128.6562","0.0000","410.2266","5.9000","0.1018","10000.0000","41.56636516","44.94946292","-0.7368","0.0338","-0.6040","0.3461","-1.9425","-0.6940","-193.5437","320.7375","244.7500","3.9634","4140.8750","0.0000","0.2657"
"2.150","2.0019","14","0.0014","-0.0772","-0.1095","130.8989","0.0000","410.2190","5.9000","0.1000","10000.0000","41.56636505","44.94946315","-0.7627","0.0514","-0.6050","0.4170","-1.8923","-0.7236","-194.3313","321.3625","243.4250","3.9627","3941.0750","0.0000","0.2931"
"2.200","1.8484","14","0.0048","-0.1478","-0.8374","138.9686","0.0000","410.2099","5.9000","0.1032","10000.0000","41.56636475","44.94946328","-0.7778","0.0473","-0.5903","0.7282","-1.5969","-0.4739","-193.1500","321.9875","241.0375","3.9620","3875.9250","0.0000","0.3200"
"2.250","1.4810","15","0.0057","-0.1947","-0.2526","146.0099","0.0000","410.2113","5.9000","0.1100","10000.0000","41.56636459","44.94946332","-0.7595","0.0267","-0.6396","0.4500","-0.7612","-0.5935","-191.9000","322.0000","245.1438","3.9613","3892.8250","0.0000","0.3427"
"2.300","0.9950","14","0.0020","-0.0357","1.3275","149.7188","0.0000","410.2130","5.9000","0.1100","10000.0000","41.56636453","44.94946339","-0.7104","0.0392","-0.7300","-0.6229","-0.3471","-0.6844","-190.8875","322.0125","253.3562","3.9606","3710.2000","0.0000","0.3599"
"2.350","0.6490","14","0.0000","0.0000","-0.1182","142.9589","0.0000","410.2135","5.9000","0.1100","10000.0000","41.56636453","44.94946339","-0.6687","0.0527","-0.7375","-0.8041","-0.6767","-0.6316","-191.5875","319.4625","254.1875","3.9599","3645.8501","0.0000","0.3715"
"2.400","0.3504","14","0.0000","0.0000","6.2950","156.5189","0.0000","410.2209","5.9000","0.1165","10000.0000","41.56636454","44.94946339","-0.6318","0.0563","-0.7827","0.0831","-1.1770","-0.6643","-193.3438","315.5625","250.3250","3.9592","3627.4500","0.0000","0.3786"
"2.450","0.3346","14","0.0000","0.0000","15.1943","26.1952","0.0000","410.2342","5.9000","0.1185","10000.0000","41.56636449","44.94946334","-0.6191","0.0498","-0.8533","1.1583","-1.2354","-0.6844","-193.9438","314.4750","248.2750","3.9585","3596.8999","0.0000","0.3833"
"2.500","0.4513","15","0.0000","0.0000","13.8238","-49.4339","0.0000","410.2432","5.9000","0.1018","10000.0000","41.56636462","44.94946324","-0.5923","0.0352","-0.8433","1.2944","-0.8671","-0.3864","-193.6313","315.9750","247.6313","3.9578","3555.1250","0.0000","0.3886"
"2.550","0.3482","15","0.0000","0.0000","5.9691","-53.6446","0.0000","410.2138","5.9000","0.1007","10000.0000","41.56636463","44.94946314","-0.5576","-0.0066","-0.8975","0.4215","-1.2803","-0.5123","-193.0813","316.2750","248.7000","3.9571","3529.9250","0.0000","0.3940"
"2.600","0.1887","15","0.0000","0.0000","4.0982","-108.5859","0.0000","410.2072","5.9000","0.1198","10000.0000","41.56636453","44.94946311","-0.5776","-0.0160","-0.8613","0.0512","-1.6283","-0.6380","-192.2688","314.5375","251.4500","3.9564","3625.2500","0.0000","0.3978"
"2.650","0.1994","15","0.0000","0.0000","0.0821","-166.4850","0.0000","410.2064","5.9000","0.1400","10000.0000","41.56636446","44.94946305","-0.5554","-0.0393","-0.8596","0.4146","-1.2083","-0.3358","-192.6562","316.2625","252.3875","3.9557","3512.1499","0.0000","0.4004"
"2.700","0.0339","15","0.0000","0.0000","0.0155","-30.1855","0.0000","410.2063","5.9000","0.1070","10000.0000","41.56636446","44.94946319","-0.5269","-0.0482","-0.8550","0.7261","-1.1617","-0.1889","-194.4688","322.6250","251.2750","3.9550","3430.8501","0.0000","0.4023"
"2.750","0.1202","15","0.0000","0.0000","6.9861","60.9014","0.0000","410.2138","5.9000","0.1478","10000.0000","41.56636452","44.94946322","-0.5437","-0.0292","-0.8403","0.4916","-1.4877","-0.2587","-194.5938","326.3375","249.4375","3.9551","3524.7500","0.0000","0.4034"
"2.800","0.1138","15","0.0000","0.0000","9.0318","68.6059","0.0000","410.2235","5.9000","0.1297","10000.0000","41.56636444","44.94946322","-0.5215","0.0076","-0.8838","0.5217","-1.4031","-0.2425","-192.6687","327.7250","246.4312","3.9553","3393.2000","0.0000","0.4050"
"2.850","0.1117","15","0.0000","0.0000","11.3228","3.8724","0.0000","410.2213","5.9000","0.1385","10000.0000","41.56636453","44.94946322","-0.5525","0.0746","-0.8435","0.8708","-1.2660","-0.4328","-189.8375","326.0750","245.9062","3.9554","3454.1001","0.0000","0.4065"
"2.900","0.1307","15","0.0000","0.0000","-4.8017","76.4699","0.0000","410.2086","5.9000","0.1135","10000.0000","41.56636448","44.94946322","-0.5684","0.0603","-0.8369","0.5043","-1.2230","-0.7206","-185.3375","322.0750","247.9563","3.9556","3610.8250","0.0000","0.4081"
"2.950","0.1261","15","0.0000","0.0000","-8.7936","97.8930","0.0000","410.1993","5.9000","0.1100","10000.0000","41.56636439","44.94946323","-0.5620","0.0086","-0.8418","0.1958","-1.2010","-0.8732","-187.1562","319.8875","247.2000","3.9557","4051.4250","0.0000","0.4099"
"3.000","0.0805","15","0.0000","0.0000","-2.4139","121.2069","0.0000","410.1996","5.9000","0.1133","10000.0000","41.56636439","44.94946328","-0.5601","0.0093","-0.8110","0.2309","-1.3042","-0.9565","-196.3125","319.9875","242.7188","3.9559","4255.0249","0.0000","0.4113"
"3.050","0.1457","15","0.0000","0.0000","8.9475","167.2246","0.0000","410.2103","5.9000","0.1258","10000.0000","41.56636431","44.94946322","-0.5637","0.0426","-0.7654","0.4559","-1.2999","-1.0169","-201.0875","320.8375","241.2937","3.9560","4304.9502","0.0000","0.4128"
"3.100","0.1003","15","0.0000","0.0000","-8.3480","145.6571","0.0000","410.2059","5.9000","0.1053","10000.0000","41.56636434","44.94946329","-0.5869","0.0521","-0.8159","0.3789","-1.4498","-0.7178","-201.5063","322.9625","243.0813","3.9562","4268.9248","0.0000","0.4148"
"3.150","0.2439","15","0.0000","0.0000","-7.3593","101.4467","0.0000","410.1938","5.9000","0.1007","10000.0000","41.56636432","44.94946322","-0.5740","0.0377","-0.8369","0.1499","-1.4995","-0.5083","-200.7188","323.2750","245.0750","3.9563","4304.5752","0.0000","0.4170"
"3.200","0.1102","15","0.0000","0.0000","3.3211","126.8474","0.0000","410.2024","5.9000","0.1133","10000.0000","41.56636429","44.94946328","-0.5620","0.0242","-0.7817","0.3488","-1.3365","-0.7039","-199.4000","321.2875","247.2125","3.9565","4348.1001","0.0000","0.4191"
"3.250","0.3062","15","0.0000","0.0000","-3.9602","88.4773","0.0000","410.2020","5.9000","0.1085","10000.0000","41.56636430","44.94946339","-0.5693","0.0276","-0.8018","0.4130","-1.1798","-0.6455","-197.1562","319.5250","248.1250","3.9566","4408.7998","0.0000","0.4221"
"3.300","0.3043","15","0.0000","0.0000","-4.0637","128.6594","0.0000","410.1982","5.9000","0.1000","10000.0000","41.56636418","44.94946339","-0.5801","0.0202","-0.8418","0.2963","-1.2887","-0.5031","-190.8813","318.7625","247.8813","3.9568","4295.8501","0.0000","0.4264"
"3.350","0.3204","14","0.0000","0.0000","-3.8799","120.9270","0.0000","410.2023","5.9000","0.0900","10000.0000","41.56636413","44.94946348","-0.5901","-0.0087","-0.8501","-0.1788","-1.4040","-0.3065","-187.8500","318.5000","247.2063","3.9569","4206.0752","0.0000","0.4307"
"3.400","0.2286","14","0.0000","0.0000","-1.1349","132.3659","0.0000","410.2001","5.9000","0.0965","10000.0000","41.56636411","44.94946348","-0.5830","-0.0203","-0.8462","-0.5804","-1.3893","-0.4341","-191.4062","318.7500","245.7812","3.9571","4026.7500","0.0000","0.4345"
"3.450","0.2581","14","0.0000","0.0000","-5.5515","128.6837","0.0000","410.1956","5.9000","0.1042","10000.0000","41.56636406","44.94946348","-0.5771","-0.0159","-0.8538","-0.5264","-1.2789","-0.6760","-194.2812","319.5875","245.2375","3.9572","4062.7500","0.0000","0.4378"
"3.500","0.3611","14","0.0000","0.0000","-4.4861","116.4576","0.0000","410.2000","5.9000","0.1000","10000.0000","41.56636403","44.94946355","-0.5811","-0.0472","-0.8579","0.1990","-1.3969","-0.7834","-194.8750","321.4625","246.3438","3.9574","3978.2749","0.0000","0.4420"
"3.550","0.2770","14","0.0000","0.0000","-2.8324","106.6111","0.0000","410.2079","5.9000","0.1000","10000.0000","41.56636408","44.94946356","-0.5916","-0.0419","-0.8645","0.9115","-1.2765","-0.3913","-194.5813","322.8625","247.7125","3.9575","3868.0750","0.0000","0.4466"
"3.600","0.3987","14","0.0000","0.0000","1.4159","141.3288","0.0000","410.2115","5.9000","0.1000","10000.0000","41.56636394","44.94946356","-0.5957","-0.0159","-0.8740","0.9009","-1.2556","-0.1872","-193.6438","323.0000","249.8313","3.9577","3990.3000","0.0000","0.4515"
"3.650","0.2486","14","0.0000","0.0000","4.5152","135.4126","0.0000","410.2108","5.9000","0.1000","10000.0000","41.56636387","44.94946361","-0.6013","0.0044","-0.8484","0.5255","-1.4466","0.0646","-193.1250","323.3625","250.5813","3.9578","3893.6001","0.0000","0.4558"
"3.700","0.1479","14","0.0000","0.0000","7.8293","92.2936","0.0000","410.2211","5.9000","0.1165","10000.0000","41.56636394","44.94946365","-0.6221","0.0508","-0.8315","0.4640","-1.6318","0.1721","-193.3687","324.2375","249.0375","3.9580","3754.7749","0.0000","0.4586"
"3.750","0.1012","14","0.0000","0.0000","30.1360","134.1093","0.0000","410.2217","5.9000","0.1000","10000.0000","41.56636385","44.94946357","-0.6340","0.0678","-0.7637","0.4033","-1.9142","0.2645","-193.0375","324.2750","247.8875","3.9579","3922.2749","0.0000","0.4606"
"3.800","0.2690","14","0.0000","0.0000","-3.9307","107.3087","0.0000","410.2147","5.9000","0.1000","10000.0000","41.56636387","44.94946370","-0.6064","0.0600","-0.7227","0.3856","-1.5166","-0.1872","-190.5562","322.0500","247.7500","3.9577","3756.3750","0.0000","0.4632"
"3.850","0.2985","14","0.0000","0.0000","-3.8957","132.3316","0.0000","410.2162","5.9000","0.1115","10000.0000","41.56636378","44.94946372","-0.5764","0.0032","-0.7791","0.5044","-1.1207","-0.6190","-190.0750","321.1125","247.6375","3.9576","3703.4250","0.0000","0.4672"
"3.900","0.3344","14","0.0000","0.0000","-4.3490","155.5855","0.0000","410.2065","5.9000","0.1283","10000.0000","41.56636376","44.94946379","-0.6016","0.0044","-0.8271","0.6898","-1.1291","-0.6047","-194.2812","322.4625","246.7750","3.9574","3783.7749","0.0000","0.4715"
"3.950","0.2273","14","0.0000","0.0000","-3.2984","146.8415","0.0000","410.2146","5.9000","0.1293","10000.0000","41.56636368","44.94946382","-0.5901","0.0239","-0.8562","0.8405","-1.3338","-0.4690","-197.1687","323.6125","246.3062","3.9573","3652.7000","0.0000","0.4754"
"4.000","0.1293","14","0.0000","0.0000","23.1995","30.8576","0.0000","410.2263","5.9000","0.1168","10000.0000","41.56636374","44.94946376","-0.5752","0.0328","-0.7954","0.7354","-1.5137","-0.4398","-196.8938","323.5125","246.9812","3.9571","3687.0249","0.0000","0.4779"
"4.050","0.0805","15","0.0000","0.0000","51.4572","-94.9958","0.0000","410.2380","5.9000","0.1042","10000.0000","41.56636372","44.94946365","-0.5962","0.0494","-0.7583","0.6049","-1.2032","-0.6102","-195.7188","323.3625","247.7937","3.9570","3641.2500","0.0000","0.4794"
"4.100","0.3096","15","0.0000","0.0000","23.2847","123.0287","0.0000","410.2456","5.9000","0.1248","10000.0000","41.56636356","44.94946372","-0.6104","0.0489","-0.7246","0.5014","-1.3371","-0.4045","-193.3062","324.4750","248.7312","3.9568","3563.8501","0.0000","0.4821"
"4.150","0.4613","15","0.0000","0.0000","15.9731","156.1552","0.0000","410.2471","5.9000","0.1192","10000.0000","41.56636352","44.94946374","-0.5901","0.0241","-0.7722","0.5547","-1.4904","-0.4677","-192.0437","324.9125","249.6000","3.9567","3642.8250","0.0000","0.4871"
"4.200","0.2965","15","0.0000","0.0000","17.1829","152.8134","0.0000","410.2403","5.9000","0.1100","10000.0000","41.56636343","44.94946382","-0.5791","0.0159","-0.8545","0.5509","-1.3404","-0.6444","-195.0437","320.1250","251.8250","3.9565","3534.9250","0.0000","0.4923"
"4.250","0.1719","15","0.0000","0.0000","12.4051","116.6993","0.0000","410.2286","5.9000","0.1100","10000.0000","41.56636344","44.94946382","-0.5613","0.0288","-0.8376","0.4822","-1.4657","-0.5494","-197.6250","316.3875","253.0813","3.9564","3603.6499","0.0000","0.4953"
"4.300","0.0979","15","0.0000","0.0000","18.3073","-117.3961","0.0000","410.2286","5.9000","0.1265","10000.0000","41.56636344","44.94946382","-0.5698","-0.0129","-0.8955","0.6337","-1.3542","-0.5889","-195.4438","318.4250","249.9563","3.9562","3512.5000","0.0000","0.4973"
"4.350","0.1651","14","0.0000","0.0000","5.4869","-151.0926","0.0000","410.2219","5.9000","0.1308","10000.0000","41.56636336","44.94946381","-0.5955","-0.0185","-0.8772","0.7869","-1.5519","-0.3767","-193.1938","320.8625","246.4937","3.9561","3474.7500","0.0000","0.4993"
"4.400","0.2516","14","0.0000","0.0000","13.0660","-165.8423","0.0000","410.2207","5.9000","0.1367","10000.0000","41.56636326","44.94946373","-0.5903","-0.0156","-0.9019","0.7178","-1.5087","-0.3172","-194.8250","320.0375","244.1687","3.9559","3472.8000","0.0000","0.5023"
"4.450","0.1708","14","0.0000","0.0000","18.4258","-165.6890","0.0000","410.2207","5.9000","0.1300","10000.0000","41.56636326","44.94946373","-0.5588","-0.0093","-0.9243","0.4642","-1.2298","-0.3704","-196.5000","318.7750","243.3625","3.9558","3486.0000","0.0000","0.5050"
